Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Mehra, Poonam; Pandey, Bipin Kumar; Giri, Jitender; ",Improvement in phosphate acquisition and utilization by a secretory purple acid phosphatase (OsPAP21b) in rice,Plant Biotechnology Journal,15,8,1054-1067,2017,
"Bhosale, Rahul; Giri, Jitender; Pandey, Bipin K; Giehl, Ricardo FH; Hartmann, Anja; Traini, Richard; Truskina, Jekaterina; Leftley, Nicola; Hanlon, Meredith; Swarup, Kamal; ",A mechanistic framework for auxin dependent Arabidopsis root hair elongation to low external phosphate,Nature communications,9,1,1409,2018,Nature Publishing Group UK
"Giri, Jitender; Bhosale, Rahul; Huang, Guoqiang; Pandey, Bipin K; Parker, Helen; Zappala, Susan; Yang, Jing; Dievart, Anne; Bureau, Charlotte; Ljung, Karin; ",Rice auxin influx carrier OsAUX1 facilitates root hair elongation in response to low external phosphate,Nature communications,9,1,1408,2018,Nature Publishing Group UK
"Huang, Guoqiang; Liang, Wanqi; Sturrock, Craig J; Pandey, Bipin K; Giri, Jitender; Mairhofer, Stefan; Wang, Daoyang; Muller, Lukas; Tan, Hexin; York, Larry M; ",Rice actin binding protein RMD controls crown root angle in response to external phosphate,Nature Communications,9,1,2346,2018,Nature Publishing Group UK London
"Michael J Prigge, Matthieu Platre, Nikita Kadakia, Yi Zhang, Kathleen Greenham, Whitnie Szutu, Bipin Kumar Pandey, Rahul Arvind Bhosale, Malcolm J Bennett, Wolfgang Busch, Mark Estelle; ",Genetic analysis of the Arabidopsis TIR1/AFB auxin receptors reveals both overlapping and specialized functions,eLife,,,,2020,
"Pandey, Bipin K; Huang, Guoqiang; Bhosale, Rahul; Hartman, Sjon; Sturrock, Craig J; Jose, Lottie; Martin, Olivier C; Karady, Michal; Voesenek, Laurentius ACJ; Ljung, Karin; ",Plant roots sense soil compaction through restricted ethylene diffusion,Science,371,6526,276-280,2021,American Association for the Advancement of Science
"Huang, Guoqiang; Kilic, Azad; Karady, Michal; Zhang, Jiao; Mehra, Poonam; Song, Xiaoyun; Sturrock, Craig J; Zhu, Wanwan; Qin, Hua; Hartman, Sjon; ",Ethylene inhibits rice root elongation in compacted soil via ABA-and auxin-mediated mechanisms,Proceedings of the National Academy of Sciences,119,30,e2201072119,2022,National Academy of Sciences
"Fusi, Riccardo; Rosignoli, Serena; Lou, Haoyu; Sangiorgi, Giuseppe; Bovina, Riccardo; Pattem, Jacob K; Borkar, Aditi N; Lombardi, Marco; Forestan, Cristian; Milner, Sara G; ",Root angle is controlled by EGT1 in cereal crops employing an antigravitropic mechanism,Proceedings of the National Academy of Sciences,119,31,e2201350119,2022,National Academy of Sciences
"Mehra, Poonam; Pandey, Bipin K; Melebari, Dalia; Banda, Jason; Leftley, Nicola; Couvreur, Valentin; Rowe, James; Anfang, Moran; De Gernier, Hugues; Morris, Emily; ",Hydraulic flux–responsive hormone redistribution determines root branching,Science,378,6621,762-768,2022,American Association for the Advancement of Science
"Ogorek, Lucas L Peralta; Gao, Yiqun; Farrar, Edward; Pandey, Bipin K; ",Soil compaction sensing mechanisms and root responses,Trends in Plant Science,30,5,565-575,2025,Elsevier
"Zhu, Mingyuan; Hsu, Che-Wei; Peralta Ogorek, Lucas L; Taylor, Isaiah W; La Cavera, Salvatore; Oliveira, Dyoni M; Verma, Lokesh; Mehra, Poonam; Mijar, Medhavinee; Sadanandom, Ari; ",Single-cell transcriptomics reveal how root tissues adapt to soil stress,Nature,642,8068,721-729,2025,Nature Publishing Group UK London
